date,price
2009Dec,51.6425
2010Jan,53.9784
2010Feb,54.4891
2010Mar,59.0665
2010Apr,63.9929
2010May,61.6167
2010Jun,62.1816
2010Jul,58.9178
2010Aug,59.9151
2010Sep,59.8432
2010Oct,60.2167
2010Nov,63.1009
2010Dec,69.5780
2011Jan,72.5877
2011Feb,76.6326
2011Mar,82.1068
2011Apr,85.1395
2011May,79.8296
2011Jun,79.0854
2011Jul,81.7058
2011Aug,76.7140
2011Sep,79.8159
2011Oct,78.9365
2011Nov,81.3574
2011Dec,81.6568
2012Jan,86.2344
2012Feb,89.7464
2012Mar,94.2123
2012Apr,91.3811
2012May,86.0061
2012Jun,76.4181
2012Jul,83.3615
2012Aug,90.4529
2012Sep,87.9202
2012Oct,85.5900
2012Nov,84.8372
2012Dec,82.7839
2013Jan,84.1874
2013Feb,86.7123
2013Mar,84.1555
2013Apr,79.3453
2013May,79.2452
2013Jun,78.3375
2013Jul,81.8711
2013Aug,82.5541
2013Sep,83.0109
2013Oct,79.9776
2013Nov,80.0078
2013Dec,80.7921
2014Jan,78.7576
2014Feb,79.4208
2014Mar,77.7698
2014Apr,78.1769
2014May,79.4203
2014Jun,82.2801
2014Jul,79.9469
2014Aug,77.5741
2014Sep,76.4254
2014Oct,69.4637
2014Nov,64.0813
2014Dec,61.0
